Thread: 119 Dequeued Item:  1009 At Time: Dec 07,2015 21:36:12 
Thread: 120 Enqueued Item:  1052 At Time: Dec 07,2015 21:36:12 
Thread: 121 Dequeued Item:  1052 At Time: Dec 07,2015 21:36:12 
Thread: 122 Enqueued Item:   867 At Time: Dec 07,2015 21:36:12 
Thread: 123 Dequeued Item:   867 At Time: Dec 07,2015 21:36:12 
Thread: 124 Enqueued Item:   885 At Time: Dec 07,2015 21:36:12 
Thread: 125 Dequeued Item:   885 At Time: Dec 07,2015 21:36:12 
Thread: 126 Pushed Item:     863 At Time: Dec 07,2015 21:36:12 
Thread: 127 Dequeued Item:   863 At Time: Dec 07,2015 21:36:12 
Thread: 128 Enqueued Item:  1199 At Time: Dec 07,2015 21:36:12 
Thread: 129 Dequeued Item:  1199 At Time: Dec 07,2015 21:36:12 
Thread: 130 Enqueued Item:  1255 At Time: Dec 07,2015 21:36:12 
Thread: 131 Dequeued Item:  1255 At Time: Dec 07,2015 21:36:12 
Thread: 132 Enqueued Item:   930 At Time: Dec 07,2015 21:36:12 
Thread: 133 Dequeued Item:   930 At Time: Dec 07,2015 21:36:12 
Thread: 134 Pushed Item:     860 At Time: Dec 07,2015 21:36:12 
Thread: 135 Dequeued Item:   860 At Time: Dec 07,2015 21:36:12 
Thread: 136 Pushed Item:    1142 At Time: Dec 07,2015 21:36:12 
Thread: 137 Dequeued Item:  1142 At Time: Dec 07,2015 21:36:12 
Thread: 139 Enqueued Item:  1306 At Time: Dec 07,2015 21:36:12 
Thread: 141 Dequeued Item:  1306 At Time: Dec 07,2015 21:36:12 
Thread: 142 Pushed Item:    1152 At Time: Dec 07,2015 21:36:12 
Thread: 143 Dequeued Item:  1152 At Time: Dec 07,2015 21:36:12 
Thread: 144 Enqueued Item:  1024 At Time: Dec 07,2015 21:36:12 
Thread: 145 Dequeued Item:  1024 At Time: Dec 07,2015 21:36:12 
Thread: 146 Pushed Item:    1145 At Time: Dec 07,2015 21:36:12 
Thread: 147 Dequeued Item:  1145 At Time: Dec 07,2015 21:36:12 
Thread: 148 Enqueued Item:   891 At Time: Dec 07,2015 21:36:12 
Thread: 149 Dequeued Item:   891 At Time: Dec 07,2015 21:36:12 
Thread: 150 Pushed Item:     928 At Time: Dec 07,2015 21:36:12 
Thread: 151 Dequeued Item:   928 At Time: Dec 07,2015 21:36:12 
Thread: 152 Enqueued Item:  1081 At Time: Dec 07,2015 21:36:12 
Thread: 153 Dequeued Item:  1081 At Time: Dec 07,2015 21:36:12 
Thread: 154 Enqueued Item:   911 At Time: Dec 07,2015 21:36:12 
Thread: 155 Dequeued Item:   911 At Time: Dec 07,2015 21:36:12 
Thread: 156 Pushed Item:    1011 At Time: Dec 07,2015 21:36:12 
Thread: 157 Dequeued Item:  1011 At Time: Dec 07,2015 21:36:12 
Thread: 158 Pushed Item:    1087 At Time: Dec 07,2015 21:36:12 
Thread: 159 Dequeued Item:  1087 At Time: Dec 07,2015 21:36:12 
Thread: 161 Enqueued Item:   806 At Time: Dec 07,2015 21:36:12 
Thread: 163 Dequeued Item:   806 At Time: Dec 07,2015 21:36:12 
Thread: 164 Pushed Item:    1294 At Time: Dec 07,2015 21:36:12 
Thread: 165 Dequeued Item:  1294 At Time: Dec 07,2015 21:36:12 
Thread: 166 Pushed Item:    1105 At Time: Dec 07,2015 21:36:12 
Thread: 167 Dequeued Item:  1105 At Time: Dec 07,2015 21:36:12 
Thread: 168 Pushed Item:    1221 At Time: Dec 07,2015 21:36:12 
Thread: 169 Dequeued Item:  1221 At Time: Dec 07,2015 21:36:12 
Thread: 170 Pushed Item:     947 At Time: Dec 07,2015 21:36:12 
Thread: 171 Dequeued Item:   947 At Time: Dec 07,2015 21:36:12 
Thread: 172 Enqueued Item:  1450 At Time: Dec 07,2015 21:36:12 
Thread: 173 Dequeued Item:  1450 At Time: Dec 07,2015 21:36:12 
Thread: 174 Pushed Item:     932 At Time: Dec 07,2015 21:36:12 
Thread: 175 Dequeued Item:   932 At Time: Dec 07,2015 21:36:12 
Thread: 176 Pushed Item:    1305 At Time: Dec 07,2015 21:36:12 
Thread: 177 Dequeued Item:  1305 At Time: Dec 07,2015 21:36:12 
Thread: 178 Enqueued Item:  1107 At Time: Dec 07,2015 21:36:12 
Thread: 179 Dequeued Item:  1107 At Time: Dec 07,2015 21:36:12 
Thread: 180 Pushed Item:    1095 At Time: Dec 07,2015 21:36:12 
Thread: 181 Dequeued Item:  1095 At Time: Dec 07,2015 21:36:12 
Thread: 182 Enqueued Item:  1087 At Time: Dec 07,2015 21:36:12 
Thread: 183 Dequeued Item:  1087 At Time: Dec 07,2015 21:36:12 
Thread: 184 Pushed Item:    1100 At Time: Dec 07,2015 21:36:12 
Thread: 185 Dequeued Item:  1100 At Time: Dec 07,2015 21:36:12 
Thread: 186 Pushed Item:     956 At Time: Dec 07,2015 21:36:12 
Thread: 187 Dequeued Item:   956 At Time: Dec 07,2015 21:36:12 
Thread: 188 Enqueued Item:  1080 At Time: Dec 07,2015 21:36:12 
Thread: 189 Dequeued Item:  1080 At Time: Dec 07,2015 21:36:12 
Thread: 190 Enqueued Item:  1034 At Time: Dec 07,2015 21:36:12 
Thread: 191 Dequeued Item:  1034 At Time: Dec 07,2015 21:36:12 
Thread: 192 Enqueued Item:   809 At Time: Dec 07,2015 21:36:12 
Thread: 193 Dequeued Item:   809 At Time: Dec 07,2015 21:36:12 
Thread: 194 Pushed Item:    1076 At Time: Dec 07,2015 21:36:12 
Thread: 195 Dequeued Item:  1076 At Time: Dec 07,2015 21:36:12 
Thread: 196 Pushed Item:    1094 At Time: Dec 07,2015 21:36:12 
Thread: 197 Dequeued Item:  1094 At Time: Dec 07,2015 21:36:12 
Thread: 198 Enqueued Item:   749 At Time: Dec 07,2015 21:36:12 
Thread: 199 Dequeued Item:   749 At Time: Dec 07,2015 21:36:12 
Thread: 200 Enqueued Item:   912 At Time: Dec 07,2015 21:36:12 
Thread: 201 Enqueued Item:  1072 At Time: Dec 07,2015 21:36:12 
Thread: 202 Pushed Item:    1168 At Time: Dec 07,2015 21:36:12 
Thread: 203 Pushed Item:     926 At Time: Dec 07,2015 21:36:12 
Thread: 204 Pushed Item:    1029 At Time: Dec 07,2015 21:36:12 
Thread: 205 Enqueued Item:   734 At Time: Dec 07,2015 21:36:12 
Thread: 206 Pushed Item:    1299 At Time: Dec 07,2015 21:36:12 
Thread: 207 Enqueued Item:   735 At Time: Dec 07,2015 21:36:12 
Thread: 208 Enqueued Item:   881 At Time: Dec 07,2015 21:36:12 
